metro,StateName,zhvi,median_sale_price,sales_count,new_con_sales_count,new_con_median_sale_price,zhvi_yoy_growth,median_sale_price_yoy_growth,sales_count_yoy_growth,new_con_sales_yoy_growth,new_con_price_premium,new_con_share_of_sales,cluster
"Abilene, TX",TX,202082.35946803863,252500.0,192.07692307692307,45.61538461538461,273009.1153846154,0.6586584895681177,4.913783007698042,23.544810066470273,68.65617514768618,1.1325098470256518,0.23686694447002915,0
"Albany, NY",NY,350212.22877222515,325000.0,662.3076923076923,44.92307692307692,643901.2307692308,4.237813754336935,5.699660631373437,3.6009871213308227,10.172207586557354,1.9456855217949638,0.06943564024333418,1
"Albuquerque, NM",NM,341890.9030576893,340000.0,732.0769230769231,80.53846153846153,405532.26923076925,2.23299103664792,2.0548385495499137,2.333310708877116,-5.667514110010503,1.156273230574723,0.11023375976460628,2
"Allentown, PA",PA,348992.0330537998,326875.0,934.0,58.61538461538461,496403.6153846154,3.5781135720544013,6.61338938945561,-3.5703037902405317,-18.736855235027015,1.5141724213050742,0.0631670396931055,1
"Ann Arbor, MI",MI,404020.1489328061,360000.0,326.38461538461536,32.07692307692308,527501.6666666666,2.353294517305041,3.387916279877375,7.223359662395656,15.921708500161087,1.3948305249017274,0.10382232359654762,1
"Appleton, WI",WI,332928.810484597,287500.0,198.07692307692307,32.53846153846154,413181.53846153844,6.478707814925045,4.063571873291721,13.046782192298847,10.885341816983921,1.3757365805036603,0.16670356133475056,1
"Asheville, NC",NC,416459.028863373,423000.0,522.6923076923077,86.84615384615384,467448.13269230764,-0.42711071765316405,-0.9865176132446666,9.705931454708098,-11.419467348170105,1.0767422896106251,0.16863798237655006,2
"Atlanta, GA",GA,376472.1128935027,364000.0,6632.461538461538,1092.0,427141.96153846156,-2.042068662370861,1.2879306409974058,-1.4937666880505787,-20.04705271321785,1.1566036740409347,0.16644757652370964,2
"Auburn, AL",AL,340107.00003274664,323000.0,176.30769230769232,88.6923076923077,397461.0,3.255571686878962,5.760122001993233,7.444829009380807,-1.6166249292165469,1.2272608848943583,0.5026332519731339,0
"Augusta, GA",GA,241604.483627304,260000.0,702.6923076923077,220.30769230769232,323436.46153846156,1.01972174133623,3.004555521271146,1.2601481091827809,-4.4437499577133925,1.3274533018708752,0.31293555360250774,0
"Austin, TX",TX,426643.3299457354,440000.0,1728.8461538461538,854.8461538461538,393702.73076923075,-5.166897970174081,0.013567471684009598,2.441086808411763,-7.268930323182625,0.8580365819233735,0.5035225740830149,0
"Bakersfield, CA",CA,358135.7470137657,350000.0,646.4615384615385,108.15384615384616,441843.8461538461,1.8708334625768956,2.5483676958116694,-0.5142374822399909,-11.105145675161697,1.2572075803353586,0.16903652738142044,1
"Baltimore, MD",MD,393896.25416512537,355000.0,2939.846153846154,213.0,563326.3461538461,2.1309202080852603,4.39217487273453,-1.1337157173680283,-6.67536321624702,1.5183416011551176,0.07329075020719249,1
"Baton Rouge, LA",LA,240561.32869609407,239000.0,735.6923076923077,140.30769230769232,296136.1923076923,0.41313538852032655,2.3061239760244185,5.332441399948021,-16.584115822807473,1.2115054926353108,0.19133394897680706,2
"Bellingham, WA",WA,605708.0040146392,525000.0,227.23076923076923,33.38461538461539,640536.8846153846,2.19690739210697,-0.7409588781387104,0.3399659842269966,7.795724730703668,1.0911355651735672,0.14927719393189062,0
"Bend, OR",OR,660595.1305391573,711462.0,334.15384615384613,70.15384615384616,645240.3076923077,-1.3666346440718071,3.5533254044809226,15.769239801296873,-18.556099849599754,0.9281946882571117,0.21994184814442425,2
"Birmingham, AL",AL,254913.1191765653,235719.0,1434.0,191.84615384615384,346338.8461538461,0.2600601347081929,9.754791071827254,-3.9593890128109828,-9.588347563783252,1.4117436331999624,0.13420789848904285,1
"Boise City, ID",ID,485228.73655967944,459000.0,801.9230769230769,507.7692307692308,505437.3076923077,0.9826257004330964,1.2668767125697602,9.670472975372016,6.931914613031413,1.049044667943536,0.6483937178182495,0
"Boston, MA",MA,712682.5945261862,675000.0,3922.6153846153848,286.0769230769231,913367.1923076923,2.3836361638429855,4.6511159871121786,5.27829129983409,-7.3312110447365075,1.3336254350007881,0.07640778384984268,1
"Bremerton, WA",WA,572692.6179963993,510000.0,281.7692307692308,59.76923076923077,657288.8461538461,1.7462441112365579,1.9674113884890725,3.9096015401757835,-48.200889085194675,1.2375495129934604,0.22325771813627085,2
"Cape Coral, FL",FL,340227.44891249057,385000.0,1379.6923076923076,499.38461538461536,354798.46153846156,-8.943552508760655,-3.5436067862198706,4.829012600713172,-11.641730780045899,0.9672090720332741,0.3627459238296301,2
"Cedar Rapids, IA",IA,232340.33421005736,219500.0,287.15384615384613,27.307692307692307,378855.2272727273,3.375326629557804,3.2151257504093356,7.456835399345453,-8.09150894617989,1.7623150072866354,0.0933688182210321,1
"Charleston, SC",SC,427301.70255503774,440000.0,1136.7692307692307,370.2307692307692,419632.03846153844,0.2922298947248825,4.021914738140941,3.4484469312669015,-5.646829928124826,0.9399186483757827,0.3309797353714714,0
